(E: 0,C: 0) Reloj 6.95312 | Camiones en Cola: 1
(E: 0,C: 0) Reloj 11.65453 | Camiones en Cola: 2
(E: 0,C: 0) Reloj 11.90710 | Camiones en Cola: 3
(E: 0,C: 1) Reloj 7.32507 | Camiones en Cola: 1
(E: 0,C: 1) Reloj 15.06445 | Camiones en Cola: 2
(E: 0,C: 2) Reloj 22.71029 | Camiones en Cola: 1
(E: 0,C: 3) Reloj 1.46892 | Camiones en Cola: 1
(E: 0,C: 3) Reloj 2.20180 | Camiones en Cola: 2
(E: 0,C: 3) Reloj 2.41107 | Camiones en Cola: 3
(E: 0,C: 3) Reloj 10.01592 | Camiones en Cola: 6
(E: 0,C: 4) Reloj 2.03033 | Camiones en Cola: 1
(E: 0,C: 5) Reloj 10.23589 | Camiones en Cola: 1
(E: 0,C: 5) Reloj 16.28713 | Camiones en Cola: 2
(E: 0,C: 6) Reloj 23.02333 | Camiones en Cola: 1
(E: 0,C: 7) Reloj 18.09247 | Camiones en Cola: 1
(E: 0,C: 8) Reloj 11.30875 | Camiones en Cola: 1
(E: 0,C: 8) Reloj 15.07698 | Camiones en Cola: 2
(E: 0,C: 9) Reloj 7.33872 | Camiones en Cola: 1
(E: 0,C: 9) Reloj 11.21835 | Camiones en Cola: 2
(E: 0,C: 9) Reloj 12.28723 | Camiones en Cola: 3
(E: 0,C: 9) Reloj 15.47025 | Camiones en Cola: 5
(E: 0,C: 10) Reloj 28.82276 | Camiones en Cola: 1
(E: 0,C: 11) Reloj 3.88714 | Camiones en Cola: 1
(E: 0,C: 11) Reloj 6.35493 | Camiones en Cola: 2
(E: 0,C: 11) Reloj 10.60996 | Camiones en Cola: 3
(E: 0,C: 12) Reloj 34.05870 | Camiones en Cola: 1
(E: 0,C: 13) Reloj 25.82223 | Camiones en Cola: 1
(E: 0,C: 14) Reloj 5.94894 | Camiones en Cola: 1
(E: 0,C: 14) Reloj 7.06489 | Camiones en Cola: 2
(E: 0,C: 14) Reloj 7.74231 | Camiones en Cola: 4
(E: 0,C: 14) Reloj 7.83637 | Camiones en Cola: 5
(E: 0,C: 14) Reloj 8.46975 | Camiones en Cola: 7
(E: 0,C: 14) Reloj 8.79789 | Camiones en Cola: 10
(E: 0,C: 14) Reloj 9.73015 | Camiones en Cola: 12
(E: 0,C: 14) Reloj 10.31719 | Camiones en Cola: 14
(E: 0,C: 14) Reloj 11.86635 | Camiones en Cola: 16
(E: 0,C: 14) Reloj 12.97520 | Camiones en Cola: 18
(E: 0,C: 14) Reloj 13.59191 | Camiones en Cola: 20
(E: 0,C: 14) Reloj 13.92006 | Camiones en Cola: 23
(E: 0,C: 14) Reloj 14.24820 | Camiones en Cola: 26
(E: 0,C: 14) Reloj 14.65029 | Camiones en Cola: 28
(E: 0,C: 14) Reloj 14.97844 | Camiones en Cola: 32
